Country Code,State Code,ZIP/Postcode,City,Rate %,Tax Name,Priority,Compound,Shipping,Tax Class
US,CO,*,*,2.9000,Colorado Tax,1,1,0,
US,CO,80001*,*,8.2100,ARVADA,1,1,0,
US,CO,80002*,*,7.9600,ARVADA,1,1,0,
US,CO,80003*,*,7.9600,ARVADA,1,1,0,
US,CO,80004*,*,7.9600,ARVADA,1,1,0,
US,CO,80005*,*,7.9600,ARVADA,1,1,0,
US,CO,80006*,*,7.9600,ARVADA,1,1,0,
US,CO,80007*,*,7.9600,ARVADA,1,1,0,
US,CO,80010*,*,8.5000,AURORA,1,1,0,
US,CO,80011*,*,8.5000,AURORA,1,1,0,
US,CO,80012*,*,8.0000,AURORA,1,1,0,
US,CO,80013*,*,8.0000,AURORA,1,1,0,
US,CO,80014*,*,8.0000,AURORA,1,1,0,
US,CO,80015*,*,8.0000,AURORA,1,1,0,
US,CO,80016*,*,8.0000,AURORA,1,1,0,
US,CO,80017*,*,8.0000,AURORA,1,1,0,
US,CO,80018*,*,8.0000,AURORA,1,1,0,
US,CO,80019*,*,8.5000,AURORA,1,1,0,
US,CO,80020*,*,7.9600,ARVADA,1,1,0,
US,CO,80021*,*,7.9600,ARVADA,1,1,0,
US,CO,80022*,*,9.2500,COMMERCE CITY,1,1,0,
US,CO,80023*,*,8.1500,BROOMFIELD,1,1,0,
US,CO,80024*,*,4.7500,DUPONT,1,1,0,
US,CO,80025*,*,5.1900,ELDORADO SPRINGS,1,1,0,
US,CO,80026*,*,9.0600,LAFAYETTE,1,1,0,
US,CO,80027*,*,8.8400,LOUISVILLE,1,1,0,
US,CO,80030*,*,4.7500,DENVER,1,1,0,
US,CO,80031*,*,7.9600,ARVADA,1,1,0,
US,CO,80033*,*,4.5000,DENVER,1,1,0,
US,CO,80034*,*,8.0000,WHEAT RIDGE,1,1,0,
US,CO,80035*,*,8.6000,WESTMINSTER,1,1,0,
US,CO,80036*,*,8.6000,WESTMINSTER,1,1,0,
US,CO,80037*,*,9.2500,COMMERCE CITY,1,1,0,
US,CO,80038*,*,8.1500,BROOMFIELD,1,1,0,
US,CO,80040*,*,8.5000,AURORA,1,1,0,
US,CO,80041*,*,8.0000,AURORA,1,1,0,
US,CO,80042*,*,8.5000,AURORA,1,1,0,
US,CO,80044*,*,8.0000,AURORA,1,1,0,
US,CO,80045*,*,8.5000,AURORA,1,1,0,
US,CO,80046*,*,8.0000,AURORA,1,1,0,
US,CO,80047*,*,8.0000,AURORA,1,1,0,
US,CO,80101*,*,3.9000,AGATE,1,1,0,
US,CO,80102*,*,7.7500,BENNETT,1,1,0,
US,CO,80103*,*,3.2500,BYERS,1,1,0,
US,CO,80104*,*,7.9000,CASTLE ROCK,1,1,0,
US,CO,80105*,*,3.9000,AGATE,1,1,0,
US,CO,80106*,*,5.1300,BLACK FOREST,1,1,0,
US,CO,80107*,*,7.9000,ELIZABETH,1,1,0,
US,CO,80108*,*,6.7500,CASTLE PINES NORTH,1,1,0,
US,CO,80109*,*,7.9000,CASTLE ROCK,1,1,0,
US,CO,80110*,*,7.7500,CHERRY HILLS VILLAGE,1,1,0,
US,CO,80111*,*,6.7500,CENTENNIAL,1,1,0,
US,CO,80112*,*,8.7500,AURORA,1,1,0,
US,CO,80113*,*,7.7500,CHERRY HILLS VILLAGE,1,1,0,
US,CO,80116*,*,5.0000,FRANKTOWN,1,1,0,
US,CO,80117*,*,5.4000,KIOWA,1,1,0,
US,CO,80118*,*,7.9000,LARKSPUR,1,1,0,
US,CO,80120*,*,5.0000,HIGHLANDS RANCH,1,1,0,
US,CO,80121*,*,6.7500,CENTENNIAL,1,1,0,
US,CO,80122*,*,6.7500,CENTENNIAL,1,1,0,
US,CO,80123*,*,4.2500,BOW MAR,1,1,0,
US,CO,80124*,*,8.7500,LITTLETON,1,1,0,
US,CO,80125*,*,8.7500,LITTLETON,1,1,0,
US,CO,80126*,*,5.0000,HIGHLANDS RANCH,1,1,0,
US,CO,80127*,*,4.5000,DENVER,1,1,0,
US,CO,80128*,*,8.0000,LITTLETON,1,1,0,
US,CO,80129*,*,5.0000,HIGHLANDS RANCH,1,1,0,
US,CO,80130*,*,5.0000,HIGHLANDS RANCH,1,1,0,
US,CO,80131*,*,4.0000,LOUVIERS,1,1,0,
US,CO,80132*,*,7.6300,MONUMENT,1,1,0,
US,CO,80133*,*,7.1300,PALMER LAKE,1,1,0,
US,CO,80134*,*,5.0000,DOUGLAS CO UN RTD CD ONLY,1,1,0,
US,CO,80135*,*,4.0000,SEDALIA,1,1,0,
US,CO,80136*,*,3.7500,STRASBURG,1,1,0,
US,CO,80137*,*,3.7500,WATKINS,1,1,0,
US,CO,80138*,*,7.9000,ELIZABETH,1,1,0,
US,CO,80150*,*,8.0500,ENGLEWOOD,1,1,0,
US,CO,80151*,*,8.0500,ENGLEWOOD,1,1,0,
US,CO,80155*,*,8.0500,ENGLEWOOD,1,1,0,
US,CO,80160*,*,8.0000,LITTLETON,1,1,0,
US,CO,80161*,*,6.7500,CENTENNIAL,1,1,0,
US,CO,80162*,*,8.7500,LITTLETON,1,1,0,
US,CO,80163*,*,5.0000,HIGHLANDS RANCH,1,1,0,
US,CO,80165*,*,8.0000,LITTLETON,1,1,0,
US,CO,80166*,*,8.0000,LITTLETON,1,1,0,
US,CO,80201*,*,8.8100,DENVER,1,1,0,
US,CO,80202*,*,8.8100,DENVER,1,1,0,
US,CO,80203*,*,8.8100,DENVER,1,1,0,
US,CO,80204*,*,8.8100,DENVER,1,1,0,
US,CO,80205*,*,8.8100,DENVER,1,1,0,
US,CO,80206*,*,8.8100,DENVER,1,1,0,
US,CO,80207*,*,8.8100,DENVER,1,1,0,
US,CO,80208*,*,8.8100,DENVER,1,1,0,
US,CO,80209*,*,8.8100,DENVER,1,1,0,
US,CO,80210*,*,8.8100,DENVER,1,1,0,
US,CO,80211*,*,8.8100,DENVER,1,1,0,
US,CO,80212*,*,8.8100,DENVER,1,1,0,
US,CO,80214*,*,8.8100,DENVER,1,1,0,
US,CO,80215*,*,4.5000,DENVER,1,1,0,
US,CO,80216*,*,9.2500,COMMERCE CITY,1,1,0,
US,CO,80217*,*,8.8100,DENVER,1,1,0,
US,CO,80218*,*,8.8100,DENVER,1,1,0,
US,CO,80219*,*,8.8100,DENVER,1,1,0,
US,CO,80220*,*,8.8100,DENVER,1,1,0,
US,CO,80221*,*,4.7500,DENVER,1,1,0,
US,CO,80222*,*,8.8100,DENVER,1,1,0,
US,CO,80223*,*,8.8100,DENVER,1,1,0,
US,CO,80224*,*,8.8100,DENVER,1,1,0,
US,CO,80225*,*,4.5000,DENVER,1,1,0,
US,CO,80226*,*,8.8100,DENVER,1,1,0,
US,CO,80227*,*,8.8100,DENVER,1,1,0,
US,CO,80228*,*,4.5000,DENVER,1,1,0,
US,CO,80229*,*,4.7500,DENVER,1,1,0,
US,CO,80230*,*,8.8100,DENVER,1,1,0,
US,CO,80231*,*,4.2500,DENVER,1,1,0,
US,CO,80232*,*,8.8100,DENVER,1,1,0,
US,CO,80233*,*,4.7500,DENVER,1,1,0,
US,CO,80234*,*,8.1500,BROOMFIELD,1,1,0,
US,CO,80235*,*,8.8100,DENVER,1,1,0,
US,CO,80236*,*,4.2500,DENVER,1,1,0,
US,CO,80237*,*,8.8100,DENVER,1,1,0,
US,CO,80238*,*,8.8100,DENVER,1,1,0,
US,CO,80239*,*,8.8100,DENVER,1,1,0,
US,CO,80241*,*,4.7500,DENVER,1,1,0,
US,CO,80243*,*,8.8100,DENVER,1,1,0,
US,CO,80244*,*,8.8100,DENVER,1,1,0,
US,CO,80246*,*,8.8100,DENVER,1,1,0,
US,CO,80247*,*,8.0000,AURORA,1,1,0,
US,CO,80248*,*,8.8100,DENVER,1,1,0,
US,CO,80249*,*,9.2500,COMMERCE CITY,1,1,0,
US,CO,80250*,*,8.8100,DENVER,1,1,0,
US,CO,80256*,*,8.8100,DENVER,1,1,0,
US,CO,80257*,*,8.8100,DENVER,1,1,0,
US,CO,80259*,*,8.8100,DENVER,1,1,0,
US,CO,80260*,*,4.7500,DENVER,1,1,0,
US,CO,80261*,*,8.8100,DENVER,1,1,0,
US,CO,80263*,*,8.8100,DENVER,1,1,0,
US,CO,80264*,*,8.8100,DENVER,1,1,0,
US,CO,80265*,*,8.8100,DENVER,1,1,0,
US,CO,80266*,*,8.8100,DENVER,1,1,0,
US,CO,80271*,*,8.8100,DENVER,1,1,0,
US,CO,80273*,*,8.8100,DENVER,1,1,0,
US,CO,80274*,*,8.8100,DENVER,1,1,0,
US,CO,80281*,*,8.8100,DENVER,1,1,0,
US,CO,80290*,*,8.8100,DENVER,1,1,0,
US,CO,80291*,*,8.8100,DENVER,1,1,0,
US,CO,80293*,*,8.8100,DENVER,1,1,0,
US,CO,80294*,*,8.8100,DENVER,1,1,0,
US,CO,80299*,*,8.8100,DENVER,1,1,0,
US,CO,80301*,*,9.0500,BOULDER,1,1,0,
US,CO,80302*,*,9.0500,BOULDER,1,1,0,
US,CO,80303*,*,9.0500,BOULDER,1,1,0,
US,CO,80304*,*,9.0500,BOULDER,1,1,0,
US,CO,80305*,*,9.0500,BOULDER,1,1,0,
US,CO,80306*,*,9.0500,BOULDER,1,1,0,
US,CO,80307*,*,9.0500,BOULDER,1,1,0,
US,CO,80308*,*,9.0500,BOULDER,1,1,0,
US,CO,80309*,*,9.0500,BOULDER,1,1,0,
US,CO,80310*,*,9.0500,BOULDER,1,1,0,
US,CO,80314*,*,9.0500,BOULDER,1,1,0,
US,CO,80401*,*,4.5000,EVERGREEN,1,1,0,
US,CO,80402*,*,7.5000,GOLDEN,1,1,0,
US,CO,80403*,*,7.9600,ARVADA,1,1,0,
US,CO,80419*,*,7.5000,GOLDEN,1,1,0,
US,CO,80420*,*,6.9000,ALMA,1,1,0,
US,CO,80421*,*,3.9000,BAILEY,1,1,0,
US,CO,80422*,*,8.9000,BLACK HAWK,1,1,0,
US,CO,80423*,*,4.9000,BOND,1,1,0,
US,CO,80424*,*,8.8800,BLUE RIVER,1,1,0,
US,CO,80425*,*,4.5000,BUFFALO CREEK,1,1,0,
US,CO,80426*,*,4.4000,BURNS,1,1,0,
US,CO,80427*,*,8.9000,CENTRAL CITY,1,1,0,
US,CO,80428*,*,3.9000,CLARK,1,1,0,
US,CO,80429*,*,6.9000,CLIMAX,1,1,0,
US,CO,80430*,*,6.9000,COALMONT,1,1,0,
US,CO,80432*,*,3.9000,COMO,1,1,0,
US,CO,80433*,*,4.5000,CONIFER,1,1,0,
US,CO,80434*,*,6.9000,COWDREY,1,1,0,
US,CO,80435*,*,8.8800,DILLON,1,1,0,
US,CO,80436*,*,5.5500,DUMONT,1,1,0,
US,CO,80437*,*,4.5000,EVERGREEN,1,1,0,
US,CO,80438*,*,10.5500,EMPIRE,1,1,0,
US,CO,80439*,*,5.5500,EVERGREEN,1,1,0,
US,CO,80440*,*,7.9000,FAIRPLAY,1,1,0,
US,CO,80442*,*,9.2000,FRASER,1,1,0,
US,CO,80443*,*,6.3800,COPPER MOUNTAIN,1,1,0,
US,CO,80444*,*,10.0500,GEORGETOWN,1,1,0,
US,CO,80446*,*,8.2000,GRANBY,1,1,0,
US,CO,80447*,*,9.2000,GRAND LAKE,1,1,0,
US,CO,80448*,*,3.9000,GRANT,1,1,0,
US,CO,80449*,*,3.9000,HARTSEL,1,1,0,
US,CO,80451*,*,8.2000,HOT SULPHUR SPRINGS,1,1,0,
US,CO,80452*,*,10.5500,IDAHO SPRINGS,1,1,0,
US,CO,80453*,*,4.5000,IDLEDALE,1,1,0,
US,CO,80454*,*,4.5000,INDIAN HILLS,1,1,0,
US,CO,80455*,*,5.1900,JAMESTOWN,1,1,0,
US,CO,80456*,*,3.9000,COMO,1,1,0,
US,CO,80457*,*,4.5000,KITTREDGE,1,1,0,
US,CO,80459*,*,8.2000,KREMMLING,1,1,0,
US,CO,80461*,*,6.9000,LEADVILLE,1,1,0,
US,CO,80463*,*,4.9000,MC COY,1,1,0,
US,CO,80465*,*,8.2500,MORRISON,1,1,0,
US,CO,80466*,*,9.4400,NEDERLAND,1,1,0,
US,CO,80467*,*,6.9000,OAK CREEK,1,1,0,
US,CO,80468*,*,4.2000,PARSHALL,1,1,0,
US,CO,80469*,*,3.9000,PHIPPSBURG,1,1,0,
US,CO,80470*,*,4.5000,PINE,1,1,0,
US,CO,80471*,*,5.1900,PINECLIFFE,1,1,0,
US,CO,80473*,*,6.9000,RAND,1,1,0,
US,CO,80474*,*,2.9000,ROLLINSVILLE,1,1,0,
US,CO,80475*,*,3.9000,SHAWNEE,1,1,0,
US,CO,80476*,*,8.5500,SILVER PLUME,1,1,0,
US,CO,80477*,*,8.4000,STEAMBOAT SPRINGS,1,1,0,
US,CO,80478*,*,4.2000,TABERNASH,1,1,0,
US,CO,80479*,*,3.9000,TOPONAS,1,1,0,
US,CO,80480*,*,7.9000,WALDEN,1,1,0,
US,CO,80481*,*,7.1900,WARD,1,1,0,
US,CO,80482*,*,11.2000,WINTER PARK,1,1,0,
US,CO,80483*,*,5.9000,YAMPA,1,1,0,
US,CO,80487*,*,8.4000,STEAMBOAT SPRINGS,1,1,0,
US,CO,80488*,*,8.4000,STEAMBOAT SPRINGS,1,1,0,
US,CO,80497*,*,8.3800,SILVERTHORNE,1,1,0,
US,CO,80498*,*,8.3800,SILVERTHORNE,1,1,0,
US,CO,80501*,*,8.7200,LONGMONT,1,1,0,
US,CO,80502*,*,8.7200,LONGMONT,1,1,0,
US,CO,80503*,*,7.7000,BERTHOUD,1,1,0,
US,CO,80504*,*,6.5000,FIRESTONE,1,1,0,
US,CO,80510*,*,5.1900,ALLENSPARK,1,1,0,
US,CO,80511*,*,8.7000,ESTES PARK,1,1,0,
US,CO,80512*,*,3.7000,BELLVUE,1,1,0,
US,CO,80513*,*,7.7000,BERTHOUD,1,1,0,
US,CO,80514*,*,5.9000,DACONO,1,1,0,
US,CO,80515*,*,3.7000,DRAKE,1,1,0,
US,CO,80516*,*,8.6900,ERIE,1,1,0,
US,CO,80517*,*,8.7000,ESTES PARK,1,1,0,
US,CO,80520*,*,6.5000,FIRESTONE,1,1,0,
US,CO,80521*,*,7.5500,FORT COLLINS,1,1,0,
US,CO,80522*,*,7.5500,FORT COLLINS,1,1,0,
US,CO,80523*,*,7.5500,FORT COLLINS,1,1,0,
US,CO,80524*,*,7.5500,FORT COLLINS,1,1,0,
US,CO,80525*,*,7.5500,FORT COLLINS,1,1,0,
US,CO,80526*,*,7.5500,FORT COLLINS,1,1,0,
US,CO,80527*,*,7.5500,FORT COLLINS,1,1,0,
US,CO,80528*,*,7.5500,FORT COLLINS,1,1,0,
US,CO,80530*,*,6.4000,FREDERICK,1,1,0,
US,CO,80532*,*,3.7000,GLEN HAVEN,1,1,0,
US,CO,80533*,*,5.1900,HYGIENE,1,1,0,
US,CO,80534*,*,5.9000,JOHNSTOWN,1,1,0,
US,CO,80535*,*,3.7000,LAPORTE,1,1,0,
US,CO,80536*,*,3.7000,LIVERMORE,1,1,0,
US,CO,80537*,*,7.2000,JOHNSTOWN,1,1,0,
US,CO,80538*,*,6.7000,LOVELAND,1,1,0,
US,CO,80539*,*,6.7000,LOVELAND,1,1,0,
US,CO,80540*,*,7.7000,BERTHOUD,1,1,0,
US,CO,80541*,*,3.7000,MASONVILLE,1,1,0,
US,CO,80542*,*,5.9000,MEAD,1,1,0,
US,CO,80543*,*,5.4000,MILLIKEN,1,1,0,
US,CO,80544*,*,6.1900,BOULDER OTOWN NI COTT LID,1,1,0,
US,CO,80545*,*,3.7000,RED FEATHER LAKES,1,1,0,
US,CO,80546*,*,5.9000,SEVERANCE,1,1,0,
US,CO,80547*,*,6.7000,TIMNATH,1,1,0,
US,CO,80549*,*,4.9000,NUNN,1,1,0,
US,CO,80550*,*,5.9000,SEVERANCE,1,1,0,
US,CO,80551*,*,6.5500,WINDSOR,1,1,0,
US,CO,80553*,*,7.5500,FORT COLLINS,1,1,0,
US,CO,80601*,*,8.5000,BRIGHTON,1,1,0,
US,CO,80602*,*,8.5000,BRIGHTON,1,1,0,
US,CO,80603*,*,6.6500,BRIGHTON,1,1,0,
US,CO,80610*,*,5.9000,AULT,1,1,0,
US,CO,80611*,*,2.9000,BRIGGSDALE,1,1,0,
US,CO,80612*,*,2.9000,CARR,1,1,0,
US,CO,80614*,*,4.7500,EASTLAKE,1,1,0,
US,CO,80615*,*,5.9000,EATON,1,1,0,
US,CO,80620*,*,7.4000,EVANS,1,1,0,
US,CO,80621*,*,6.9000,FORT LUPTON,1,1,0,
US,CO,80622*,*,2.9000,GALETON,1,1,0,
US,CO,80623*,*,6.9000,GILCREST,1,1,0,
US,CO,80624*,*,2.9000,GILL,1,1,0,
US,CO,80631*,*,5.9000,GARDEN CITY,1,1,0,
US,CO,80632*,*,7.0100,GREELEY,1,1,0,
US,CO,80633*,*,7.0100,GREELEY,1,1,0,
US,CO,80634*,*,7.4000,EVANS,1,1,0,
US,CO,80638*,*,7.0100,GREELEY,1,1,0,
US,CO,80639*,*,7.0100,GREELEY,1,1,0,
US,CO,80640*,*,8.5000,BRIGHTON,1,1,0,
US,CO,80642*,*,8.5000,BRIGHTON,1,1,0,
US,CO,80643*,*,8.5000,BRIGHTON,1,1,0,
US,CO,80644*,*,6.5000,KERSEY,1,1,0,
US,CO,80645*,*,7.4000,EVANS,1,1,0,
US,CO,80646*,*,2.9000,LUCERNE,1,1,0,
US,CO,80648*,*,4.9000,NUNN,1,1,0,
US,CO,80649*,*,2.9000,ORCHARD,1,1,0,
US,CO,80650*,*,4.9000,PIERCE,1,1,0,
US,CO,80651*,*,5.9000,PLATTEVILLE,1,1,0,
US,CO,80652*,*,2.9000,ROGGEN,1,1,0,
US,CO,80653*,*,2.9000,WELDONA,1,1,0,
US,CO,80654*,*,2.9000,ROGGEN,1,1,0,
US,CO,80701*,*,6.9000,FORT MORGAN,1,1,0,
US,CO,80705*,*,6.9000,FORT MORGAN,1,1,0,
US,CO,80720*,*,6.9000,AKRON,1,1,0,
US,CO,80721*,*,3.9000,AMHERST,1,1,0,
US,CO,80722*,*,3.9000,ATWOOD,1,1,0,
US,CO,80723*,*,6.9000,BRUSH,1,1,0,
US,CO,80726*,*,3.9000,CROOK,1,1,0,
US,CO,80727*,*,5.0000,ECKLEY,1,1,0,
US,CO,80728*,*,5.9000,FLEMING,1,1,0,
US,CO,80729*,*,3.9000,GROVER,1,1,0,
US,CO,80731*,*,5.9000,FLEMING,1,1,0,
US,CO,80732*,*,2.9000,HEREFORD,1,1,0,
US,CO,80733*,*,2.9000,HILLROSE,1,1,0,
US,CO,80734*,*,5.0000,ECKLEY,1,1,0,
US,CO,80735*,*,2.9000,IDALIA,1,1,0,
US,CO,80736*,*,3.9000,ILIFF,1,1,0,
US,CO,80737*,*,8.2000,JULESBURG,1,1,0,
US,CO,80740*,*,4.4000,LINDON,1,1,0,
US,CO,80741*,*,6.9000,AKRON,1,1,0,
US,CO,80742*,*,5.9000,FORT MORGAN,1,1,0,
US,CO,80743*,*,3.9000,MERINO,1,1,0,
US,CO,80744*,*,6.9000,OVID,1,1,0,
US,CO,80745*,*,3.9000,PADRONI,1,1,0,
US,CO,80746*,*,7.4000,HAXTUN,1,1,0,
US,CO,80747*,*,3.9000,PEETZ,1,1,0,
US,CO,80749*,*,6.9000,SEDGWICK,1,1,0,
US,CO,80750*,*,2.9000,SNYDER,1,1,0,
